"active_date","address","boro","census_tract","city","community_board","corner","council_district","cross_street_1","cross_street_2","install_date","latitude","longitude","nta","nta_name","phone_status","ppt_id","site_id","state","status","tablet_status","wifi_status","zip"
"2016-12-05T00:00:00.000","1123 BROADWAY","Manhattan","58","New York","5","SW","3","WEST 25 STREET","WEST 26 STREET","2016-10-29T00:00:00.000","40.74320284","-73.98920582","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","up","123647","mn-05-123647","NY","Link Active!","up","up","10010"
"2017-01-18T00:00:00.000","179 WEST 26 STREET","Manhattan","95","New York","5","NE","3","7 AVENUE","6 AVENUE","2016-11-23T00:00:00.000","40.74596848","-73.99403913","MN17","Midtown-Midtown South","up","123662_139443","mn-05-123662","NY","Link Active!","up","up","10001"
"2017-06-21T00:00:00.000","25 EAST 29 STREET","Manhattan","74","New York","5","NE","2","MADISON AVENUE","PARK AVENUE","2017-01-29T00:00:00.000","40.744614","-73.985069","MN17","Midtown-Midtown South","up","123789","mn-05-123789","NY","Link Active!","up","up","10016"
"2018-03-05T00:00:00.000","1515 BROADWAY","Manhattan","119","New York","5","NW","3","WEST 45 STREET","WEST 44 STREET","2016-12-18T00:00:00.000","40.75766558","-73.98587842","MN17","Midtown-Midtown South","up","133354_133355_133367","mn-05-133354","NY","Link Active!","up","up","10036"
"2016-11-10T00:00:00.000","201 WEST 48 STREET","Manhattan","125","New York","5","NW","4","7 AVENUE","BROADWAY","2016-10-22T00:00:00.000","40.759971","-73.984342","MN17","Midtown-Midtown South","up","133359_133360","mn-05-133359","NY","Link Active!","up","up","10019"
"2016-07-18T00:00:00.000","1600 BROADWAY","Manhattan","125","New York","5","NE","4","WEST 48 STREET","WEST 49 STREET","2016-05-14T00:00:00.000","40.76041294","-73.9845408","MN17","Midtown-Midtown South","up","133361_133362","mn-05-133361","NY","Link Active!","up","up","10019"
"2016-10-28T00:00:00.000","206 WEST 52 STREET","Manhattan","131","New York","5","SW","4","BROADWAY","7 AVENUE","2016-10-01T00:00:00.000","40.7625933","-73.9830769","MN17","Midtown-Midtown South","up","133505","mn-05-133505","NY","Link Active!","up","up","10019"
"2016-07-18T00:00:00.000","1626 BROADWAY","Manhattan","125","New York","5","SW","4","WEST 49 STREET","WEST 50 STREET","2016-05-26T00:00:00.000","40.76088277","-73.98427739","MN17","Midtown-Midtown South","up","133508_133510","mn-05-133508","NY","Link Active!","up","up","10019"
"2018-05-16T00:00:00.000","200 WEST 45 STREET","Manhattan","119","New York","5","SWC","3","7 AVENUE","8 AVENUE","2017-11-14T00:00:00.000","40.758022","-73.985832","MN17","Midtown-Midtown South","up","133536_133537","mn-05-133536","NY","Link Active!","up","up","10036"
"2017-05-04T00:00:00.000","300 MADISON AVENUE","Manhattan","82","New York","5","NW","4","EAST 41 STREET","EAST 42 STREET","2017-02-11T00:00:00.000","40.75233526","-73.97973824","MN20","Murray Hill-Kips Bay","up","133538_133539","mn-05-133538","NY","Link Active!","up","up","10017"
"2017-05-19T00:00:00.000","126 EAST 41 STREET","Manhattan","80","New York","5","SW","4","LEXINGTON AVENUE","PARK AVENUE","2017-02-04T00:00:00.000","40.75083273","-73.97681673","MN20","Murray Hill-Kips Bay","up","133550_133551","mn-05-133550","NY","Link Active!","up","up","10017"
"2017-06-14T00:00:00.000","232 MADISON AVENUE","Manhattan","82","New York","5","NW","4","EAST 37 STREET","EAST 38 STREET","2017-04-30T00:00:00.000","40.74983207","-73.9815598","MN20","Murray Hill-Kips Bay","up","133558_133559","mn-05-133558","NY","Link Active!","up","up","10016"
,"287 PARK AVENUE SOUTH","Manhattan","68","New York","5","NE","2","EAST 22 STREET","EAST 23 STREET",,"40.7395835","-73.98665708","MN21","Gramercy","Not Available","133660_134451","mn-05-133660","NY","Ready to Install","Not Available","Not Available","10010"
